Word,Clue,Example
inclusive,encompassing much or everything,We are going to adhere to our basic programing strategy of nonpartisan information inclusive of all different points of view.
interdict,command against,"Failing to satisfy his examiners, he was interdicted from practice, but ignored the prohibition, and suffered more than one imprisonment in consequence."
abase,cause to feel shame,"Ashamed, abased, degraded in his own eyes, he turned away his head."
obviate,do away with,"Comfortable sleeping-cars obviate the necessity of stopping by the way for bodily rest, provided the traveller be physically strong and in good health."
hurtle,move with or as if with a rushing sound,The hurricane was expected to hit Washington in the early hours of Sunday before hurtling toward New York City.
unanimity,everyone being of one mind,"On all other points of colonial policy, Mackenzie declared, people would be found to differ, but as regards the post office there was absolute unanimity."
mettle,the courage to carry on,The deployment will also test the emotional mettle of soldiers and their families.
interpolate,"insert words into texts, often falsifying it thereby","Most scholars agree that these lines are interpolated, since they do not fit in with the rest of the poem."
surreptitious,marked by quiet and caution and secrecy,"He noticed that the peddler was eying the bag Scotty had picked up, and was trying to be surreptitious about it."
dissimulate,hide feelings from other people,"From infancy these people have been schooled to dissimulate and hide emotion, and ordinarily their faces are as opaque as those of veteran poker players."
ruse,"a deceptive maneuver, especially to avoid capture","Overseas criminals use elaborate ruses, including phony websites, to trick job-seekers into helping transfer stolen funds."
specious,plausible but false,"You might be tempted to think of the biggest airline as the one with the most aircraft, but capacity differences make this reasoning specious."
revulsion,intense aversion,"After a first instinctive cry of horrified revulsion, the men reached down under water with their hands and drew out—a corpse."
hale,exhibiting or restored to vigorous good health,"From a hearty, hale, corn-fed boy, he has become pale, lean, and wan."
palliate,lessen or to try to lessen the seriousness or extent of,"Divisions and inequalities persist, but government can palliate their effects with hard cash."
obtuse,lacking in insight or discernment,The affair had been mentioned so plainly that it was impossible for the most dense and obtuse person not to have understood the allusion.
querulous,habitually complaining,"He was, at times, as querulous as a complaining old man."
vagary,an unexpected and inexplicable change in something,"Today such acquisitions are more likely to stay put, destined to survive both market fluctuations and the vagaries of style."
incipient,only partly in existence; imperfectly formed,"Above all, medical teams will need to establish quick surveillance to identify health needs and pinpoint incipient outbreaks before they explode."
obdurate,stubbornly persistent in wrongdoing,"Several appeared deeply affected, with tears of repentance standing in their eyes, others sullen and obdurate."
grovel,show submission or fear,The two young men who drove them had fallen flat and were grovelling and wailing for mercy.
refractory,stubbornly resistant to authority or control,Beyond them the gardener struggled with a refractory horse that refused to draw his load of brush and dead leaves.
dregs,sediment that has settled at the bottom of a liquid,"""Right got to go,"" Ali says, draining the dregs of his beer."
ascendancy,the state when one person or group has power over another,"But in a few days he had secured an almost incredible ascendancy over the sullen, starved, half-clothed army."
supercilious,having or showing arrogant superiority to,"A supercilious, patronizing person—son of a wretched country parson—used to loll against the wall of your salon—with his nose in the air."
pundit,someone who has been admitted to membership in a field,"Pundits of agricultural science explore the sheds, I believe, the barns, stables, machine-rooms, and so forth, before inspecting the crops."
commiserate,to feel or express sympathy or compassion,"We had spent countless hours together drinking wine and commiserating about child-rearing, long Wisconsin winters and interrupted sleep."
alcove,a small recess opening off a larger room,"They showed him where he would sleep, in a little closet-like alcove screened from the big room by a gay curtain."
assay,make an effort or attempt,He decided to assay one last project before giving up.
parochial,narrowly restricted in outlook or scope,But Republicans in Pennsylvania also have narrower and more parochial things to worry about.
conjugal,relating to the relationship between a wife and husband,They even had conjugal visits for prisoners — five hours in a private room every three months with your wife.
abjure,formally reject or disavow a formerly held belief,"The caste abstain from liquor, and some of them have abjured all flesh food while others partake of it."
frieze,an ornament consisting of a horizontal sculptured band,"All the doorways mentioned above have cornices, and in those at Palmyra and Baalbec richly carved friezes with side corbels."
ornate,marked by complexity and richness of detail,"Unlike his literary icon, Herman Melville, he doesn’t adorn his writing with ornate flourishes or complicated scaffolding."
inflammatory,arousing to action or rebellion,We don't know whether inflammatory language or images can incite the mentally ill to commit acts of violence.
machination,a crafty and involved plot to achieve your ends,He was continued a member of Congress until 1777 when his enemies succeeded in their long nursed machinations against him.
mendicant,a pauper who lives by begging,In others are the broken-down mendicants who live on soup-kitchens and begging.
meander,to move or cause to move in a sinuous or circular course,They paused beside one of the low stone walls that meandered in a meaningless fashion this way and that over the uplands.
bullion,gold or silver in bars or ingots,"In times of economic turmoil, more people tend to invest in bullion gold."
diffidence,lack of self-assurance,His grave diffidence and continued hesitation in offering an opinion confirmed me in my own.
makeshift,done or made using whatever is available,"The house was still under construction, so he climbed up a ladder being used as a makeshift stairway, fell and injured his leg."
husbandry,the practice of cultivating the land or raising stock,"The U.S. can take a lesson from Denmark, which has efficiently raised livestock without hurting farmers, by using better animal husbandry practices."
podium,a platform raised above the surrounding level,"Leyva beamed as he stood atop the podium, nodding as the American flag was raised and “The Star-Spangled Banner” played in his honor."
dearth,an insufficient quantity or number,A continuing dearth of snow in many U.S. spots usually buried by this time of year has turned life upside down.
granary,a storehouse for threshed grain or animal feed,"Here is where he does his husking, and the ""clear corn"" produced is stored away in some underground granary till It is needed."
whet,make keen or more acute,"While he described the fishing as “pretty good,” the silver salmon running in the creek only whetted his appetite to return to Alaska."
imposture,pretending to be another person,"He got somebody to prosecute him for false pretences and imposture, on the ground that Madame was a man."
diadem,an ornamental jeweled headdress signifying sovereignty,"I dethrone monarchs and the people rejoicing crown me instead, showering diadems upon my head."
fallow,undeveloped but potentially useful,"Several new prostate cancer drugs have been approved in the last couple of years, after a long fallow period, and others are in advanced development."
hubbub,loud confused noise from many sources,"There was some good-humoured pushing and thrusting, the drum beating and the church bells jangling bravely above the hubbub."
dispassionate,unaffected by strong emotion or prejudice,"The commission sitting by, judicial, dispassionate, presided with cold dignity over the sacrifice, and pronounced it good."
harrowing,extremely painful,Belgium found itself in turmoil as hundreds of people came forward to offer harrowing accounts of abuse over several decades.
askance,with suspicion or disapproval,A secret marriage in these days would be looked upon askance by most people.
lancet,a surgical knife with a pointed double-edged blade,"His left arm was held by the second physician, while the chief surgeon bent over it, lancet in hand."
rankle,gnaw into; make resentful or angry,"He was feeling more like himself now, though the memory of the bully’s sneering words rankled."
ramify,have or develop complicating consequences,Cometary science has ramified in unexpected ways during the last hundred years.
gainsay,take exception to,"That Whitman entertained a genuine affection for men and women is, of course, too obvious to be gainsaid."
polity,a governmentally organized unit,"China needs a polity that can address its increasingly sophisticated society, and to achieve that there must be political reform, Mr. Sun said."
credence,the mental attitude that something is believable,"""Well-known brand names that promote new products receive more credence than newcomers that people don't know about."""
indemnify,make amends for; pay compensation for,She put her affairs in order and left instructions that those whom she had unwittingly wronged should be indemnified out of her private fortune.
ingratiate,gain favor with somebody by deliberate efforts,"He became kindly and coaxing, leaning across the table with an ingratiating smile."
declivity,a downward slope or bend,"In this frightful condition, the hunter grappled with the raging beast, and, struggling for life, they rolled together down a steep declivity."
importunate,expressing earnest entreaty,The young man was then passionately importunate in the protestations of his love.
passe,out of fashion,"My friend is very keen on the new crowd; everything else he declares is "" passe."""
whittle,cut small bits or pare shavings from,"Tad followed, whittling on a stick with his knife and kicking at the shavings as they fell."
repine,express discontent,"Those poor fellows above, accustomed to the wild freshness and freedom of the sea, how they must mourn and repine!"
flay,strip the skin off,Once at the moose and hastily flaying the hide from the steaming meat my attention became centered on the task.
larder,a small storeroom for storing foods or wines,"Mr. Goncalves’s larder holds staples like beefsteak, salt cod, sardines, olives, artichokes, hot and sweet peppers and plenty of garlic."
threadbare,thin and tattered with age,"They were all poor folk, wrapped in threadbare cloaks or tattered leather."
grisly,shockingly repellent; inspiring horror,"Television video showed a heavily damaged building and a grisly scene inside, with clothing and prayer mats scattered across a blood-splattered floor."
untoward,not in keeping with accepted standards of what is proper,"Responding to criticism that cash payments are a classic means of tax evasion, he said he had done nothing untoward."
idiosyncrasy,a behavioral attribute peculiar to an individual,One of his well-known idiosyncrasies was that he would never allow himself to be photographed.
quip,make jokes,"""I could have joined the FBI in a shorter period of time and with less documentation than it took to get that mortgage,"" she quipped."
blatant,without any attempt at concealment; completely obvious,"There was no blatant display of wealth, and every article of furniture bore signs of long though careful use."
stanch,stop the flow of a liquid,"She did not attempt to stanch her tears, but sat looking at him with a smiling mouth, while the heavy drops fell down her cheeks."
incongruity,the quality of disagreeing,Hanging out wet clothes and an American flag at the North Pole seemed an amusing incongruity.
perfidious,tending to betray,"The perfidious Italian at length confessed that it was his intention to murder his master, and then rob the house."
platitude,a trite or obvious remark,"But details are fuzzy and rebel leaders often resort to platitudes when dismissing suggestions of discord, saying simply that ""Libya is one tribe."""
revelry,unrestrained merrymaking,"But all this revelry — dancing, drinks, exuberant youth — can be hard to manage."
delve,"turn up, loosen, or remove earth",So she did what any reporter would do: she delved into the scientific literature and talked to investigators.
extenuate,lessen or to try to lessen the seriousness or extent of,Prosecutors often spend time weighing mitigating and extenuating circumstances before deciding to seek the death penalty.
polemic,"a controversy, especially over a belief or dogma",Would it be a polemic that denounced Western imperialism for using cinema to undermine emerging nations like Kazakhstan?
enrapture,hold spellbound,"I was delighted, enraptured, beside myself--the world had disappeared in an instant."
virtuoso,someone who is dazzlingly skilled in any field,"Each of the seven instrumentalists was a virtuoso in his own right and had ample opportunity to prove it, often in long, soulful solos."
glower,look angry or sullen as if to signal disapproval,"A moment later he would collapse, sit glowering in his chair, looking angrily at the carpet."
mundane,found in the ordinary course of events,"Now, it would seem, that the Chinese are getting back to their everyday concerns, paying attention to events more mundane and less cataclysmic."
fatuous,devoid of intelligence,"They're too stupid, for one thing; they go on burning houses and breaking windows in their old fatuous way."
incorrigible,impervious to correction by punishment,She scolded and lectured her sister in vain; Cynthia was incorrigible.
postulate,maintain or assert,"In fact, when Einstein formulated his cosmological vision, based on his theory of gravitation, he postulated that the universe was finite."
gist,the central meaning or theme of a speech or literary work,"The syntax was a little off, even comical at times, but I got the gist of what was going on."
vociferous,conspicuously and offensively loud,The complaints grew so loud and vociferous that even President Obama was forced to address the backlash from Lisbon on Saturday.
purvey,supply with provisions,And we will agree also to purvey food for these horses and people during nine months.
gibe,laugh at with contempt and derision,So much did their taunts prey upon him that he ran away from school to escape their gibes.
dyspeptic,irritable as if suffering from indigestion,One may begin with heroic renunciations and end in undignified envy and dyspeptic comments outside the door one has slammed on one's self.
prude,a person excessively concerned about propriety and decorum,Criticising high-profile programmes about teenage sex education often means risking being written off as a prude.
luminary,a celebrity who is an inspiration to others,"Founded in 1947, the group's members have included such luminaries as Walt Disney, Spencer Tracy and another American president, Ronald Reagan."
amenable,disposed or willing to comply,"He, Jean Boulot, being so amenable to sensible argument, would at once fall in with his views."
willful,habitually disposed to disobedience and opposition,I crossed my arms like a willful child.
overbearing,having or showing arrogant superiority to,"""True; but——"" ""Just so,"" interrupted Mr. Fauntleroy, in his decisive and rather overbearing manner."
dais,a platform raised above the surrounding level,The throne was elevated on a dais of silver steps.
automate,make independent of external control,"And because leap seconds are needed irregularly their insertion cannot be automated, which means that fallible humans must insert them by hand."
enervate,weaken mentally or morally,"The reviewers have enervated men’s minds, and made them indolent; few think for themselves."
wheedle,"influence or urge by gentle urging, caressing, or flattering","On one level, I expected incessant flattery in attempts to wheedle equipment or even money from American forces."
gusto,vigorous and enthusiastic enjoyment,"The audience, surprisingly large given the inclement weather, responded with gusto, applauding each song, including those within the Shostakovich cycle."
bouillon,a clear seasoned broth,"The meat soups are called broths, bouillon, or consommé, according to their richness."
omniscient,infinitely wise,"Robbe-Grillet responds that his work is in fact far less objective than the godlike, omniscient narrator who presides over so many traditional novels."
apostate,not faithful to religion or party or cause,"They are atheist conservatives — Mr. Khan an apostate to his family’s Islamic faith, Ms. Mac Donald to her left-wing education."
carrion,the dead and rotting body of an animal; unfit for human food,"Habitually his diet is not carnivorous, but he will eat at times either carrion or living flesh."
emolument,compensation received by virtue of holding an office,"As the TUC has pointed out, those incomes – except for senior executives, whose emoluments seem to know few bounds – are rising more slowly than prices."
ungainly,lacking grace in movement or posture,Thomas looked up furtively and saw that an ungainly human figure with crooked legs was being led into the church.
impiety,unrighteousness by virtue of lacking respect for a god,"That, however, is unbelief, extreme impiety, and a denial of the most high God."
decadence,the state of being degenerate in mental or moral qualities,"But there are people who really do not want to import what they regard as Western decadence, especially public drunkenness."
homily,a sermon on a moral or religious topic,"In his New Year's homily, the pope said ""words were not enough"" to bring about peace, particularly in the Middle East."
avocation,an auxiliary activity,"Unlike many retired doctors, whom he says often have no life outside their profession, he always knew sailing would become his avocation."
circumvent,"avoid or try to avoid fulfilling, answering, or performing",Mr. Bloomberg said he would take several steps to circumvent obstacles to his proposals posed by city labor unions.
syllogism,reasoning in which a conclusion is derived from two premises,"The conclusions arrived at by means of syllogisms are irresistible, provided the form be correct and the premises be true."
collation,assembling in proper numerical or logical sequence,"In the case of early printed books or manuscripts, which are often not paged, special knowledge is needed for their collation."
haggle,"wrangle, as over a price or terms of an agreement","Obama said while officials can haggle over the makeup of spending cuts, the policy issues have no place in the measure."
waylay,wait in hiding to attack,"Sir Samuel Clithering was not, of course, a member of it; but he lurked about outside and waylaid us as we went in."
savant,someone who has been admitted to membership in a field,Frank had studied something of almost everything and imagined himself a savant.
cohort,a group of people having approximately the same age,"The current cohort of college students is, as many have pointed out, the first truly digital generation."
unction,excessive but superficial compliments with affected charm,"""You couldn't ask too much of me,"" he returned, with no unction of flattery, but the cheerfully frank expression of an ingenuous heart."
acrimony,a rough and bitter manner,"Relations with India have been slowly improving, although talks ended in acrimony last July with the two sides indulging in a public spat over Kashmir."
turbid,clouded as with sediment,"The thick turbid sea rolled in, casting up mire and dirt from its depths."
cupidity,extreme greed for material wealth,"Well educated, but very corrupt at heart, he found in his insatiable cupidity many ways of gaining money."
disaffected,discontented as toward authority,"The financial crisis, largely caused by banker incompetence, has created legions of disaffected customers."
preternatural,surpassing the ordinary or normal,"In fact, they regarded the Spaniards as superior beings endowed with preternatural gifts."
eschew,avoid and stay away from deliberately,Morrissey is among those seniors who are eschewing nursing homes in favor of independent living.
expatiate,"add details, as to an account or idea","He then expatiated on his own miseries, which he detailed at full length."
didactic,"instructive, especially excessively",Let us have a book so full of good illustrations that didactic instruction shall not be needed.
sinuous,curved or curving in and out,"In origami parlance, Mr. Joisel was a wet-folder, dampening his paper so that he could coax it into sinuous curves."
rancor,a feeling of deep and bitter anger and ill-will,"The current session of Parliament has so far produced only rancor, as opposition parties have shut down proceedings with angry, theatrical protests against corruption."
puissant,powerful,"The ship was not fighting now, but yielding—a complacent leviathan held captive by a most puissant and ruthless enemy."
homespun,characteristic of country life,"His rural, homespun demeanor ordinarily might elicit snickers from India’s urban elite."
embroil,force into some kind of situation or course of action,"But Mr. Marbury, often embroiled in controversy during his N.B.A. days, seems to have found some measure of peace in China."
pathological,caused by or evidencing a mentally disturbed condition,"""Fixated individuals"" — mentally ill people with a pathological focus on someone, often a stranger — make up the first group."
resonant,characterized by a loud deep sound,"His eyes were piercing but sad, his voice grand and resonant, suiting well the wrathful, impassioned Calvinism of his sermons."
libretto,the words of an opera or musical play,"In many great operas, composers have had to whittle down an epic literary work into a suitable libretto."
flail,thresh about,"Exercise is prescribed, but when she joins an aqua aerobics class, she flails embarrassingly."
bandy,discuss lightly,"Hillary Clinton’s name has been bandied about, but she’s made it clear she’s not interested."
gratis,costing nothing,"""Would you admit them gratis?"" asked Mr. Castlemaine with a smile, ""or would they have to pay, like ordinary residents in an hotel?"""
upshot,a phenomenon that is caused by some previous phenomenon,The inevitable upshot of their growing social power was that brands wanted an expanded visual presence.
aphorism,a short pithy instructive saying,"General Sherman's famous aphorism that ""War is Hell,"" has become classic."
redoubtable,worthy of respect or honor,"Captain Miles Standish was a redoubtable soldier, small in person, but of great activity and courage."
corpulent,excessively fat,"Obesity is very common, but chiefly among the women, who while still quite young often become enormously corpulent."
benighted,lacking enlightenment or knowledge or culture,I alone was magnificently and absurdly aware—everyone else was benightedly out of it.
sententious,abounding in or given to pompous or aphoristic moralizing,He is the village wise man; very sententious; and full of profound remarks on shallow subjects.
cabal,a clique that seeks power usually through intrigue,"Supposedly, see, there's this global cabal of scientists conspiring to bring about socialist one-world government."
paraphernalia,equipment consisting of miscellaneous articles,It's outfitted with cricket bats and other antique sports paraphernalia.
vitiate,make imperfect,His talent in writing is vitiated by his affectation and other faults.
adulation,servile flattery; exaggerated and hypocritical praise,"And celebrities get all this adulation for something that is not about character, it's about talent."
quaff,to swallow hurriedly or greedily or in one draught,"Meanwhile the officers under the tree had got served, and, cups in hand, were quaffing joyously."
unassuming,not arrogant,Parr's conduct after his most heroic actions was thoroughly modest and unassuming.
libertine,a dissolute person,"Still, Mr. Awlaki was neither among the most conservative Muslim students nor among the libertines who tossed aside religious restrictions on drinking and sex."
maul,injure badly,Hundreds of concert goers were mauled as they left by what The New York Times called “bands of roving youths.”
adage,a condensed but memorable saying embodying an important fact,"So he focuses on the fans and embraces the adage, “Living well is the best revenge.”"
expostulation,the act of expressing earnest opposition or protest,"He even believed he saw visions with his own bodily eyes, and no expostulations of his friends could drive this belief out of his head."
tawdry,tastelessly showy,"It was a tawdry affair, all Cupids and cornucopias, like a third-rate wedding cake."
trite,repeated too often; overfamiliar through overuse,The subject—a deathbed scene—might seem at first sight to be a trite and common one.
hireling,a person who works only for money,"Why should I?—a mere police detective, who had been hired to do a service and paid for it like any other hireling."
ensconce,fix firmly,"Though she is firmly ensconced in a writing career, Ms. Freud, 48, said that in the early days she missed acting terribly."
cogent,powerfully persuasive,"His thesis was too cogent, and appealed too powerfully to all classes of the Upper Canada community, to be anything but irresistible."
incisive,demonstrating ability to recognize or draw fine distinctions,A half-hour of informed and incisive questioning by Mr. Russert would have demolished Mr. Trump.
errant,straying from the right course or from accepted standards,"As the crowd voiced its displeasure, the referees made sure Wisconsin got the ball, but pass was errant and rolled out of bounds at midcourt."
sedulous,marked by care and persistent effort,Sedulous attention and painstaking industry always mark the true worker.
incandescent,characterized by ardent emotion or intensity or brilliance,Kirkwood's anger cooled apace; at worst it had been a flare of passion— incandescent.
derelict,in deplorable condition,Others are clustered under a tin awning by a derelict railway station or in similarly run-down school buildings.
entomology,the branch of zoology that studies insects,"From the department of entomology you expect to learn something about the troublesome insects, which are so universal an annoyance."
execrable,unequivocally detestable,"But minds were so overexcited at the time that the parties mutually accused each other, on all occasions, of the most execrable crimes."
sluice,pour as if from a conduit that carries a rapid flow of water,"At 4:15 p.m., as the rain was sluicing off roofs in sheets, the firemen moved the trucks to higher ground."
moot,"of no legal significance, as having been previously decided","The statement from Hermitage said even in the Soviet period no defendant had been tried after death, when charges were generally considered moot."
evanescent,tending to vanish like vapor,"Time seems stopped but it is moving on, and every glimmer of light is evanescent, flitting."
vat,a large open vessel for holding or storing liquids,The cream remains in the large vat about twenty-four hours before it is churned.
dapper,marked by up-to-dateness in dress and manners,"Thoroughly dapper, he took off his black-and-white pinstriped suit jacket — with its pocket-square flair — and weaved in and out among them, his voice ever rising."
asperity,harshness of manner,"All this proceeds from the old man, whose proper character it is to be angry and bitter, and to exhibit rancor and asperity."
flair,a natural talent,"In fact, while Lamarr qualified as an inventive genius for her artistic flair, she fell somewhat short on her scientific acumen."
mote,a tiny piece of anything,"He took his discharge out of his pocket, brushed every mote of dust from the table, and spread the document before their eyes."
circumspect,heedful of potential consequences,Obama administration officials argue that new regulations are forcing insurers to be more circumspect about raising rates.
inimical,not friendly,"The Hindu idea is that so long as justice and equity characterise a king’s rule, even beasts naturally inimical are disposed to live in friendship."
apropos,of an appropriate or pertinent nature,I found myself thinking vaguely about things that were not at all apropos to the situation.
gruel,a thin porridge,"He says, keep them on just two pints of Indian-meal gruel—by which he appears to mean thin hasty pudding—a day, and no more."
gentility,elegance by virtue of fineness of manner and expression,This was no rough bully of the seas; Carew's bearing and dandified apparel bespoke gentility.
disapprobation,pronouncing as wrong or morally culpable,Mr Ruthven shook his head and declared that he regarded the conduct of her persecutors with grave moral disapprobation.
cameo,engraving or carving in low relief on a stone,The trinket was a small round cameo cut out of mother-of-pearl and set in gold; it represented St. George and the dragon.
gouge,obtain by coercion or intimidation,Shortages also have raised concerns about higher prices and gouging by wholesale drug companies that obtain supplies of hard-to-get drugs and jack up the costs.
oratorio,a musical composition for voices and orchestra,"Mendelssohn had no sooner completed his first oratorio, ""St. Paul,"" than he began to think about setting another Bible story to music."
inclement,"severe, of weather",Be prepared for inclement weather and possible ice and snow on park roads.
scintilla,a tiny or scarcely detectable amount,"Gardner ""never expressed one scintilla of remorse for his attack upon the victim"" despite overwhelming evidence, prosecutors wrote in a sentencing memo."
confluence,a flowing together,"And indeed, before the 13th century, there was an extraordinary confluence of genius and innovation, particularly around Baghdad."
squalor,sordid dirtiness,"What can be expected of human beings, crowded in such miserable habitations, living in filth and squalor, and often pinched with hunger?"
stricture,severe criticism,"While gratefully accepting the generous praises of our friends, we must briefly reply to some strictures by our critics."
emblazon,decorate with heraldic arms,His coat of arms was emblazoned on the cover.
augury,an event indicating important things to come,"This is always an encouraging sign, and an augury of success."
abut,lie adjacent to another or share a boundary,"It depicts a mountain landscape near Kingston, a historic town abutting the Hudson River."
banal,repeated too often; overfamiliar through overuse,Highly dramatic incidents are juxtaposed with comparatively banal ones; particular attention is given to tales of doomed love affairs.
congeal,become gelatinous,"Boil down the syrup to half its original quantity, but take care that it does not boil long enough to congeal or become thick."
pilfer,make off with belongings of others,"Many young people scavenge for reusable garbage, living on proceeds from pilfered construction material and other recyclables."
malcontent,a person who is unsatisfied or disgusted,"Now, unfortunately, some malcontents among the hands here have spread their ideas, and a strike has been called."
sublimate,direct energy or urges into useful activities,"They might instead have passionate friendships, or sublimate their urges into other pursuits."
eugenic,causing improvement in the offspring produced,"Eugenics was aimed at creating a better society by filtering out people considered undesirable, ranging from criminals to those imprecisely designated as “feeble-minded.”"
lineament,the characteristic parts of a person's face,"The tears stood in Muriel's eyes, and her face was very pale, but serenity marked every lineament."
firebrand,someone who deliberately foments trouble,"But Hassan is not some teenage firebrand hurling rocks; he’s a slight, graying scholar committed to peace."
fiasco,a sudden and violent collapse,"The Stuttgart protests became a national fiasco in late September, when protesters clashed with police wielding batons and water cannons."
foolhardy,marked by defiant disregard for danger or consequences,"Many mistakes—extravagant purchases, foolhardy investments—are made in the first months after a windfall."
retrench,tighten one's belt; use resources carefully,But there was only one way open to me at present—and that was to retrench my expenses.
ulterior,lying beyond what is openly revealed or avowed,"Shop window displays may help prettify shopping thoroughfares, but any savvy retailer has the ulterior motive of self promotion."
equable,not varying,"His must have been that calm, equable temperament not easily ruffled, which goes with the self-respecting nature."
inured,made tough by habitual exposure,"But he had become inured to the rush and whirr of missiles, and now paid no heed whatever to them."
invidious,containing or implying a slight or showing prejudice,"""After an old-fashioned, all-round team performance … it might seem invidious to single out one player,"" admits the paper before singling out one player."
unmitigated,not diminished or moderated in intensity or severity,"In order to be well directed, sympathy must consider all men, and not the individual alone; only then is it an unmitigated good."
concomitant,an event or situation that happens at the same time,The conclusion must be drawn that every epidemic of bubonic plague is caused by the concomitant rat plague.
cozen,cheat or trick,"Dicing-houses, where cheaters meet, and cozen young men out of their money."
phlegmatic,showing little emotion,"Humanity, when surfeited with emotion, becomes calm, almost phlegmatic."
dormer,a gabled extension built out from a sloping roof,"Other features, such as the front French doors and two roof dormers with curved-top windows and operable shutters, give this home a pleasing, well-balanced presence."
pontifical,denoting or governed by or relating to a bishop or bishops,"The high priest made no resistance, but went forth in his pontifical robes, followed by the people in white garments, to meet the mighty warrior."
disport,"occupy in an agreeable, entertaining or pleasant fashion","Straightway the glade in which they sat was filled with knights, ladies, maidens, and esquires, who danced and disported themselves right joyously."
apologist,a person who argues to defend some policy or institution,"Tories, and apologists for Great Britain, have written much about a justification for this action, but there is no real justification."
abeyance,temporary cessation or suspension,My feelings of home-sickness had returned with redoubled strength after being long in abeyance.
enclave,an enclosed territory that is culturally distinct,"And its suburban schools, rather than being exclusive enclaves, include children whose parents can't afford a house in the neighborhood."
improvident,not supplying something useful for the future,He was industrious but improvident; he made money and he lost it.
disquisition,an elaborate analytical or explanatory essay or discussion,"Cumulatively, what emerges from To Kill a Mockingbird is a thoughtful disquisition that encompasses – and goes beyond – the question of racial bias at its worst."
categorical,not modified or restricted by reservations,"""European leaders were united, categorical and crystal clear: Gaddafi must go,"" British Prime Minister David Cameron said."
placate,cause to be more favorably inclined,The East India Company was placated by the concession of further exemptions in its favour.
redolent,serving to bring to mind,"Here, however, are congregated a vast number of curious and interesting objects, while the place is redolent of vivid historical associations."
felicitous,exhibiting an agreeably appropriate manner or style,"The first book is the finest, sparkling with felicitous expressions and rising frequently to true poetry."
gusty,blowing in puffs or short intermittent blasts,"Winds could get gusty, occasionally blowing at more than 30 miles per hour."
natty,marked by up-to-dateness in dress and manners,"He wore a checked suit, very natty, and was more than usually tall and fine-looking."
pacifist,opposed to war,"He was, furthermore, a real pacifist, believing that war is debasing morally and disastrous economically."
buxom,healthily plump and vigorous,"Mrs. Connelly—a round, rosy, buxom Irishwoman, with a mellow voice, laughing eye, and artist-red hair—was very much taken with their plan."
heyday,the period of greatest prosperity or productivity,Playboy's most popular years are well behind it - the magazine enjoyed its heyday in the 1970s.
herculean,displaying superhuman strength or power,"He made herculean efforts to get on terms with his examination subjects, and worked harder than he had ever done in his life before."
burgeon,grow and flourish,Brooklyn's burgeoning dining scene has even developed a following among Manhattan food lovers.
crone,an ugly evil-looking old woman,"The aged crone wrinkled her forehead and lifted her grizzled eyebrows, still without looking at him."
prognosticate,make a prediction about; tell in advance,How strange it is that our dreams often prognosticate coming events!
lout,an awkward stupid person,But this question was beyond the poor lout's intelligence; he could only blubber and fend off possible chastisement.
simper,smile affectedly or derisively,"Mrs. Barnett's mouth simpered at the implied flattery; but her eyes, always looking calculatingly for substantial results, were studying Reedy Jenkins."
iniquitous,characterized by injustice or wickedness,"This was some piece of wickedness concocted by the venomous brain of the iniquitous Vicar, more abominable than all his other wickednesses."
rile,"disturb, especially by minor irritations",The prospect of seeing Ms. Palin tour Alaska’s wild habitats may rile some people who oppose her opinions about climate change.
sentient,endowed with feeling and unstructured consciousness,"The money fluttered from his hand to the floor, where it lay like a sentient thing, staring back as if mocking him."
garish,tastelessly showy,"With its opulently garish sets and knee-jerk realism, the production dwarfed the cast, no matter what stars were singing."
readjustment,the act of correcting again,"While earpieces are not uncomfortable, they do sometimes come loose, requiring readjustment."
erstwhile,belonging to some prior time,"Sony, whose erstwhile dominance in consumer electronics has been eroded by the likes of Samsung, could beat rivals to a potentially new generation of devices."
aquiline,curved down like an eagle's beak,"The nose slightly aquiline, curving at the nostril; while luxuriant hair, in broad plaits, fell far below her waist."
bilious,irritable as if suffering from indigestion,"But his sleep had not refreshed him; he waked up bilious, irritable, ill-tempered, and looked with hatred at his room."
vilify,spread negative information about,"The trial was televised and the victim's identity became known, resulting in her being vilified by almost the entire town."
nuance,a subtle difference in meaning or opinion or attitude,"By working so hard to simplify things, we lose any nuance or ability to deal with folks’ individual circumstances."
gawk,look with amazement,He speaks mainly of his humiliation at lying on the sidewalk as hipsters gawked.
refectory,"a communal dining-hall, usually in a monastery","Meanwhile, the soup was getting cold in the refectory, so that the assembled brotherhood at last fell to, without waiting any longer for the Abbot."
palatial,suitable for or like a large and stately mansion,"The house was very large; its rooms almost palatial in size, had been finished in richly carved hardwood panels and wainscoting, mostly polished mahogany."
mincing,affectedly dainty or refined,"She went, carrying her little head very high indeed, and taking dainty, mincing steps."
trenchant,having keenness and forcefulness and penetration in thought,"They are written in a serio-comic tone, and for sparkling wit, trenchant sarcasm, and dramatic dialectics surpass anything ever penned by Lessing."
emboss,raise in a relief,Requests may also be made of the stationer to use an embossed plate so that the letters stand out in relief.
proletarian,a member of the working class,"As yet, the true proletarian wage-earner, uprooted from his native village and broken away from the organization of Indian society, is but insignificant."
careen,pitching dangerously to one side,"I turned the steering wheel all the way to one side, and found myself careening backward in a violent arc."
debacle,a sound defeat,"The Broncos are coming off their worst season in franchise history, a 4-12 debacle that included issues on and off the field."
